CC Number,Date,Time,Accident Type,New Georeferenced Column
19CS00153742,08/13/2019,8/13/2019 6:33:00 AM,Injury Crash,"(39.232769, -76.505559)"
19CS00214078,11/19/2019,11/19/2019 7:00:00 AM,Injury Crash,"(38.9766128080136, -76.3103937227355)"
19CS00151926,08/09/2019,8/12/2019 8:03:00 PM,Injury Crash,"(39.2665, -76.5895)"
19CS00082017,04/26/2019,4/26/2019 2:01:00 PM,Property Damage Crash,"(39.128870038343, -77.1675900000002)"
19CS00144062,07/28/2019,8/1/2019 3:35:00 PM,Property Damage Crash,"(39.119059, -77.078266)"
19CS00101833,05/25/2019,5/25/2019 9:44:00 AM,Property Damage Crash,"(39.2548395097297, -76.5710001034061)"
19CS00174424,09/14/2019,9/15/2019 8:06:00 PM,Property Damage Crash,"(39.2183123, -76.5266606)"
19CS00177356,09/19/2019,11/23/2019 7:13:00 AM,Property Damage Crash,"(39.297565, -76.549972)"
19CS00211034,11/13/2019,11/17/2019 2:54:00 PM,Injury Crash,"(39.2048627716516, -76.5630103872273)"
19CS00150258,08/07/2019,8/7/2019 4:36:00 AM,Property Damage Crash,"(39.2810337, -76.5539682)"
19CS00158361,08/20/2019,8/20/2019 6:05:00 PM,Property Damage Crash,"(39.2707122373252, -76.6557906777344)"
19CS00145436,07/30/2019,7/31/2019 5:35:00 PM,Property Damage Crash,"(39.300965, -76.64003)"
19CS00191895,10/11/2019,10/11/2019 5:47:00 PM,Injury Crash,"(39.2706576, -76.6424298)"
19CS00207714,11/08/2019,11/8/2019 12:25:00 AM,Property Damage Crash,"(39.2654724774367, -76.5568435505764)"
19CS00105555,05/30/2019,5/31/2019 5:24:00 PM,Injury Crash,"(39.1344886, -77.1674748)"
19CS00083279,04/28/2019,5/1/2019 6:01:00 PM,Injury Crash,"(39.261197696648, -76.5667672589303)"
P1900042505,07/03/2019,7/4/2019 7:13:00 PM,Property Damage Crash,"(39.181614506166, -76.6690237200988)"
19CS00202237,10/29/2019,10/29/2019 5:56:00 PM,Property Damage Crash,"(39.2736435967181, -76.6214793156128)"
19CS00193955,10/15/2019,10/24/2019 11:00:00 AM,Property Damage Crash,"(39.2710339056173, -76.6553901934034)"
19CS00158895,08/21/2019,8/21/2019 11:55:00 AM,Property Damage Crash,"(39.1302435, -77.162291)"
19CS00180270,09/24/2019,9/28/2019 6:50:00 AM,Property Damage Crash,"(39.2720787388114, -76.5547188928273)"
19CS00220013,11/29/2019,11/30/2019 11:11:00 AM,Property Damage Crash,"(39.00857, -76.404)"
19CS00198608,10/23/2019,10/23/2019 4:30:00 PM,Property Damage Crash,"(39.2176125350722, -76.5275866994494)"
19CS00220090,11/29/2019,11/30/2019 4:16:00 PM,Injury Crash,"(39.2597467, -76.5782106)"
19CS00149315,08/05/2019,8/8/2019 1:56:00 PM,Property Damage Crash,"(39.3126, -76.54078)"
19CS00119984,06/21/2019,6/30/2019 6:26:00 PM,Injury Crash,"(38.362165, -76.9928363)"
19CS00209040,11/10/2019,11/10/2019 11:02:00 AM,Property Damage Crash,"(39.3101683108611, -76.5407392974961)"
19CS00190171,10/09/2019,10/9/2019 2:41:00 AM,Property Damage Crash,"(39.283154094884, -76.6191559729631)"
19CS00072529,04/13/2019,4/15/2019 2:32:00 PM,Property Damage Crash,"(38.9973334200157, -76.3936706488127)"
19CS00118467,06/19/2019,6/22/2019 3:45:00 PM,Property Damage Crash,"(39.219, -76.665)"
19CS00069738,04/10/2019,4/10/2019 8:45:00 AM,Property Damage Crash,"(39.3007578791047, -76.5518010072266)"
19CS00217281,11/24/2019,11/27/2019 8:17:00 PM,Property Damage Crash,"(39.5590588062336, -76.0933820294399)"
P1900036551,06/07/2019,6/28/2019 12:41:00 AM,Property Damage Crash,"(39.183881319461, -76.6742697143555)"
19CS00092246,05/11/2019,5/12/2019 9:27:00 AM,Property Damage Crash,"(39.0739382, -76.9391073)"
19CS00171114,09/09/2019,9/9/2019 4:41:00 PM,Property Damage Crash,"(39.26085, -76.67325)"
19IR001057,06/29/2019,7/29/2019 11:14:00 PM,Fatal Crash,"(39.2252889987573, -76.6245017327712)"
19CS00131248,07/09/2019,7/11/2019 4:37:00 PM,Property Damage Crash,"(39.271256, -76.6511612)"
19CS00098456,05/20/2019,5/21/2019 6:32:00 PM,Injury Crash,"(39.205907174366, -76.6273043182159)"
19CS00076073,04/18/2019,4/22/2019 4:05:00 PM,Property Damage Crash,"(39.2665609, -76.6112092)"
19CS00084933,04/30/2019,4/30/2019 1:20:00 PM,Injury Crash,"(39.269903, -76.657658)"
19CS00167210,09/03/2019,10/3/2019 12:10:00 PM,Injury Crash,"(39.2051275880704, -76.5614184156428)"
19CS00132623,07/11/2019,7/11/2019 3:55:00 PM,Property Damage Crash,"(39.1008957, -77.0448527)"
19CS00094913,05/15/2019,5/15/2019 4:30:00 PM,Property Damage Crash,"(39.2737714963714, -76.6213670802724)"
19CS00089662,05/07/2019,5/7/2019 11:45:00 AM,Injury Crash,"(39.2668684550752, -76.6005782364186)"
P1900062511,10/02/2019,10/8/2019 7:40:00 PM,Property Damage Crash,"(39.1806379423601, -76.6683742189408)"
P1900045234,07/16/2019,7/16/2019 9:56:00 AM,Injury Crash,"(39.1706323343875, -76.6944912840803)"
19CS00194595,10/16/2019,10/16/2019 9:00:00 AM,Property Damage Crash,"(39.3364551991038, -76.5155414972089)"
19CS00194769,10/16/2019,10/16/2019 4:16:00 PM,Property Damage Crash,"(39.2708, -76.64216)"
19CS00069320,04/09/2019,4/9/2019 7:00:00 PM,Property Damage Crash,"(39.2660513, -76.5625717)"
19CS00065945,04/04/2019,4/6/2019 5:00:00 PM,Property Damage Crash,"(39.27682, -76.619926)"
19CS00077949,04/21/2019,4/21/2019 10:13:00 AM,Property Damage Crash,"(39.2666, -76.5613)"
19CS00156036,08/16/2019,8/17/2019 5:34:00 PM,Property Damage Crash,"(39.2891, -76.5327)"
P1900039085,06/17/2019,6/17/2019 8:10:00 PM,Property Damage Crash,"(39.2160652529918, -76.6602213756092)"
19CS00086337,05/02/2019,5/2/2019 9:06:00 AM,Property Damage Crash,"(39.2618501997673, -76.5836572477682)"
P1900025554,04/19/2019,4/19/2019 4:44:00 AM,Injury Crash,"(39.1706726273176, -76.6945255472111)"
19CS00210673,11/13/2019,11/13/2019 6:33:00 AM,Property Damage Crash,"(39.2459451289959, -76.5765210664866)"
19CS00128871,07/05/2019,7/5/2019 5:47:00 PM,Property Damage Crash,"(39.0757, -76.9478)"
P1900035559,06/02/2019,6/2/2019 5:30:00 PM,Injury Crash,"(39.1924, -76.69)"
19CS00108428,06/04/2019,6/4/2019 4:55:00 AM,Property Damage Crash,"(39.1204968, -77.184493)"
19CS00137237,07/18/2019,7/18/2019 5:45:00 PM,Property Damage Crash,"(39.2645323, -76.5897985)"
19CS00147167,08/02/2019,8/2/2019 4:42:00 AM,Injury Crash,"(38.9997733553462, -76.3987858791326)"
19CS00103307,05/27/2019,5/27/2019 3:52:00 PM,Property Damage Crash,"(39.2712, -76.6535)"
19CS00173892,09/13/2019,9/14/2019 8:38:00 PM,Property Damage Crash,"(39.253173, -76.571735)"
19CS00213079,11/18/2019,11/18/2019 8:10:00 AM,Injury Crash,"(39.3774326429705, -76.5193480038646)"
19CS00143411,07/27/2019,7/28/2019 3:33:00 PM,Injury Crash,"(39.2454494, -76.5770305)"
19CS00192981,10/13/2019,10/13/2019 5:27:00 PM,Property Damage Crash,"(39.274334, -76.62121)"
P1900037949,06/12/2019,7/2/2019 7:15:00 PM,Property Damage Crash,"(39.1908362016946, -76.6613092142575)"
19CS00129979,07/07/2019,7/7/2019 11:50:00 AM,Property Damage Crash,"(39.2452620654006, -76.5772589190091)"
19CS00209381,11/11/2019,11/11/2019 6:10:00 AM,Property Damage Crash,"(39.25044, -76.52122)"
19CS00200632,10/26/2019,11/6/2019 9:55:00 PM,Injury Crash,"(39.23259, -76.50344)"
19CS00176697,09/18/2019,9/18/2019 7:45:00 AM,Property Damage Crash,"(39.3005, -76.5476)"
19CS00123769,06/28/2019,6/28/2019 5:15:00 AM,Injury Crash,"(38.9837557782742, -76.3368873857324)"
P1900051332,08/11/2019,8/25/2019 4:50:00 PM,Property Damage Crash,"(39.182117767888, -76.6694739303291)"
19CS00151823,08/09/2019,8/19/2019 3:10:00 PM,Property Damage Crash,"(38.3640758, -76.9774503)"
19CS00079328,04/23/2019,4/23/2019 9:21:00 AM,Injury Crash,"(39.262769147607, -76.5689091214998)"
19CS00182507,09/27/2019,10/1/2019 12:29:00 PM,Injury Crash,"(39.2782879380505, -76.553366749382)"
19CS00104480,05/29/2019,5/29/2019 8:45:00 AM,Property Damage Crash,"(39.313825, -76.539137)"
19CS00196937,10/20/2019,10/20/2019 5:32:00 PM,Property Damage Crash,"(39.1217773420381, -77.084784216233)"
19CS00116728,06/16/2019,6/19/2019 7:06:00 PM,Property Damage Crash,"(39.0831331286325, -76.9687020736898)"
19CS00091915,05/10/2019,5/10/2019 5:10:00 PM,Property Damage Crash,"(39.0099603629083, -76.4051546787126)"
19CS00118213,06/19/2019,6/19/2019 9:24:00 AM,Injury Crash,"(39.2266864404455, -76.6244127974042)"
19CS00163271,08/28/2019,8/28/2019 5:52:00 AM,Injury Crash,"(39.2799568270073, -76.553216546541)"
19CS00191722,10/11/2019,10/11/2019 12:40:00 PM,Property Damage Crash,"(39.266308, -76.5621365)"
19CS00137898,07/19/2019,7/20/2019 5:22:00 PM,Property Damage Crash,"(39.2598229169666, -76.576175966263)"
19CS00119903,06/21/2019,6/21/2019 3:15:00 PM,Property Damage Crash,"(39.0085993536912, -76.404234063587)"
19CS00137069,07/18/2019,7/18/2019 12:20:00 PM,Property Damage Crash,"(38.9911320605192, -76.3676824951172)"
19CS00200504,10/26/2019,10/26/2019 4:18:00 PM,Property Damage Crash,"(39.2328984457685, -76.6557682398104)"
19CS00133680,07/13/2019,7/13/2019 7:13:00 AM,Property Damage Crash,"(38.9862992553323, -76.3527289209756)"
19CS00071936,04/12/2019,4/13/2019 4:42:00 PM,Property Damage Crash,"(39.0124052448348, -76.4068808351603)"
19CS00221526,12/02/2019,12/2/2019 3:06:00 PM,Property Damage Crash,"(39.2635007718898, -76.568330943873)"
19CS00217380,11/25/2019,11/25/2019 12:44:00 AM,Injury Crash,"(39.3169839631648, -76.5342124534953)"
19CS00093729,05/14/2019,5/14/2019 7:55:00 AM,Property Damage Crash,"(39.313644970656, -76.533180150388)"
19CS00200847,10/27/2019,10/27/2019 9:46:00 AM,Property Damage Crash,"(39.1012, -77.04589)"
19CS00112609,06/10/2019,6/12/2019 12:13:00 PM,Injury Crash,"(39.0576286644785, -77.1648779296875)"
19CS00090984,05/09/2019,5/10/2019 10:19:00 AM,Property Damage Crash,"(39.2610501646746, -76.5668834249343)"
19CS00070679,04/11/2019,4/11/2019 7:50:00 AM,Property Damage Crash,"(39.284268, -76.544173)"
19CS00075249,04/17/2019,4/17/2019 2:03:00 PM,Property Damage Crash,"(39.2877446, -76.5534576)"
19CS00198920,10/24/2019,10/26/2019 7:20:00 AM,Property Damage Crash,"(38.3610630324756, -77.0011371371412)"
19CS00133454,07/12/2019,8/14/2019 10:24:00 PM,Property Damage Crash,"(39.3215107354406, -76.5310397529602)"
19CS00203700,11/01/2019,11/1/2019 1:04:00 PM,Property Damage Crash,"(39.0137501240874, -76.4078684327993)"
19CS00100012,05/22/2019,6/6/2019 10:07:00 PM,Property Damage Crash,"(38.9756572, -76.2858793)"
P1900032329,05/20/2019,5/20/2019 9:30:00 AM,Property Damage Crash,"(39.1916116768613, -76.6810510687868)"
19CS00067600,04/07/2019,4/8/2019 1:50:00 PM,Property Damage Crash,"(39.2641503839332, -76.5886109303727)"
P1900045372,07/17/2019,7/26/2019 12:20:00 AM,Property Damage Crash,"(39.1803698092657, -76.6710005099445)"
19CS00195878,10/18/2019,10/18/2019 2:06:00 PM,Injury Crash,"(38.994306, -76.381845)"
19CS00205794,11/04/2019,11/6/2019 10:28:00 PM,Property Damage Crash,"(39.26662, -76.56088)"
19CS00114585,06/13/2019,7/8/2019 9:49:00 AM,Injury Crash,"(39.2612081235144, -76.5717878723145)"
19CS00205786,11/04/2019,11/7/2019 7:50:00 PM,Property Damage Crash,"(39.26408, -76.58885)"
P1900042412,07/03/2019,7/3/2019 10:25:00 AM,Property Damage Crash,"(39.1787187042718, -76.6651716613771)"
19CS00160288,08/23/2019,11/27/2019 9:00:00 AM,Property Damage Crash,"(39.2772486124211, -76.5532789497394)"
19CS00185968,10/02/2019,10/2/2019 2:49:00 PM,Property Damage Crash,"(39.28448, -76.55369)"
19CS00155171,08/15/2019,8/16/2019 12:27:00 PM,Property Damage Crash,"(39.0088389746025, -76.4044303727072)"
P1900039474,06/19/2019,9/17/2019 9:50:00 AM,Property Damage Crash,"(39.188466458823, -76.6568549079609)"
19CS00103711,05/28/2019,6/2/2019 8:15:00 AM,Injury Crash,"(39.264042716497, -76.5626219804775)"
P1900040627,06/24/2019,7/12/2019 4:18:00 PM,Property Damage Crash,"(39.1897863984515, -76.6669881313413)"
P1900027670,04/29/2019,7/2/2019 5:40:00 AM,Injury Crash,"(39.171292973828, -76.6945585996168)"
19CS00108134,06/03/2019,6/12/2019 5:42:00 PM,Property Damage Crash,"(39.2140366537326, -76.5320537770378)"
P1900035824,06/03/2019,7/2/2019 7:40:00 PM,Property Damage Crash,"(39.1886154044551, -76.6706449181638)"
19CS00064776,04/03/2019,4/6/2019 11:01:00 AM,Injury Crash,"(38.9875895638647, -76.3528307347543)"
19CS00117975,06/18/2019,6/22/2019 10:56:00 PM,Injury Crash,"(39.263904, -76.588741)"
19CS00087416,05/03/2019,5/3/2019 8:18:00 PM,Property Damage Crash,"(39.2690128, -76.6310957)"
19CS00211621,11/14/2019,11/14/2019 4:51:00 PM,Injury Crash,"(39.11785, -77.07315)"
19CS00196916,10/20/2019,11/4/2019 3:52:00 PM,Property Damage Crash,"(39.0733, -76.9351)"
19CS00088945,05/06/2019,5/6/2019 11:39:00 AM,Property Damage Crash,"(39.2726957093343, -76.5543003766505)"
19CS00123000,06/27/2019,7/11/2019 12:16:00 AM,Property Damage Crash,"(39.219, -76.665)"
19CS00147617,08/02/2019,8/7/2019 7:56:00 PM,Property Damage Crash,"(39.2648288, -76.5641091)"
19CS00114003,06/12/2019,6/13/2019 11:13:00 AM,Property Damage Crash,"(39.2140366537326, -76.5320537770378)"
19CS00125921,07/01/2019,7/2/2019 2:19:00 PM,Property Damage Crash,"(39.089551, -76.98549)"
19CS00079734,04/23/2019,4/27/2019 6:20:00 PM,Injury Crash,"(38.9888411996075, -76.3582132542833)"
19CS00197425,10/21/2019,10/25/2019 2:15:00 PM,Property Damage Crash,"(39.2616765369035, -76.5833206001844)"
19CS00101318,05/24/2019,5/28/2019 4:01:00 PM,Property Damage Crash,"(39.2575118408925, -76.6752720186354)"
19CS00136997,07/18/2019,7/18/2019 10:16:00 AM,Property Damage Crash,"(39.2411, -76.5852)"
19CS00209182,11/10/2019,11/10/2019 6:08:00 PM,Property Damage Crash,"(39.2846191381877, -76.5410930537837)"
19CS00142636,07/26/2019,7/30/2019 12:30:00 PM,Property Damage Crash,"(39.3126, -76.54078)"
19CS00193129,10/14/2019,10/17/2019 1:20:00 AM,Property Damage Crash,"(39.0673, -76.9084)"
19CS00172548,09/12/2019,9/12/2019 6:03:00 AM,Property Damage Crash,"(39.26567, -76.59544)"
19CS00132540,07/11/2019,7/11/2019 7:30:00 AM,Property Damage Crash,"(39.2101554714683, -76.5377989196777)"
19CS00199603,10/25/2019,10/27/2019 7:26:00 AM,Property Damage Crash,"(39.2862189983005, -76.5340656932103)"
P1900075119,11/27/2019,11/27/2019 4:57:00 AM,Property Damage Crash,"(39.185433, -76.6907278)"
19CS00168182,09/04/2019,9/6/2019 10:15:00 AM,Injury Crash,"(39.2572907153445, -76.5693767470742)"
P1900050928,08/09/2019,8/11/2019 5:17:00 AM,Property Damage Crash,"(39.188508, -76.675896)"
19CS00179716,09/23/2019,9/23/2019 7:28:00 AM,Property Damage Crash,"(39.32258, -76.53032)"
P1900061694,09/29/2019,10/22/2019 1:05:00 AM,Property Damage Crash,"(39.1697756387074, -76.674631990881)"
19CS00218152,11/26/2019,11/26/2019 7:40:00 AM,Property Damage Crash,"(39.2601966714247, -76.5765041363588)"
19CS00082786,04/27/2019,4/29/2019 6:48:00 PM,Property Damage Crash,"(39.5586302070873, -76.0942835832071)"
19CS00195659,10/18/2019,10/18/2019 5:59:00 AM,Property Damage Crash,"(39.2335517713508, -76.6203711967554)"
P1900038375,06/14/2019,6/14/2019 11:40:00 AM,Property Damage Crash,"(39.1826, -76.6699)"
19CS00207339,11/07/2019,11/7/2019 10:33:00 AM,Property Damage Crash,"(39.26891, -76.63187)"
19CS00212984,11/17/2019,11/21/2019 1:41:00 AM,Property Damage Crash,"(38.3691666333333, -76.9620443333333)"
19CS00135199,07/15/2019,7/16/2019 3:15:00 PM,Injury Crash,"(39.2341776354118, -76.6504543805122)"
19CS00131875,07/10/2019,7/10/2019 2:04:00 PM,Property Damage Crash,"(39.228257, -76.513251)"
P1900055456,08/30/2019,8/31/2019 4:26:00 PM,Property Damage Crash,"(39.1862282095162, -76.6879020448871)"
19CS00201570,10/28/2019,10/28/2019 3:41:00 PM,Property Damage Crash,"(39.2597467, -76.5782106)"
19CS00185323,10/01/2019,10/1/2019 5:35:00 PM,Property Damage Crash,"(39.2711381039677, -76.6551577535338)"
19CS00187461,10/04/2019,10/4/2019 6:40:00 PM,Property Damage Crash,"(39.2197427, -76.6251854)"
19CS00142095,07/25/2019,7/25/2019 2:54:00 PM,Property Damage Crash,"(39.227038024518, -76.5149637051815)"
19CS00121837,06/25/2019,6/25/2019 9:57:00 AM,Injury Crash,"(39.2631301801178, -76.5864782470971)"
19CS00156993,08/18/2019,9/5/2019 12:24:00 PM,Property Damage Crash,"(39.014103, -76.408018)"
P1900045558,07/17/2019,7/18/2019 4:58:00 PM,Property Damage Crash,"(39.1927850672664, -76.6921791508527)"
19CS00204517,11/02/2019,11/7/2019 10:05:00 PM,Injury Crash,"(39.271817, -76.555062)"
19CS00159873,08/22/2019,8/29/2019 5:16:00 PM,Property Damage Crash,"(39.25934, -76.67418)"
19CS00151306,08/08/2019,8/10/2019 6:39:00 PM,Property Damage Crash,"(39.278095, -76.553303)"
19B000769,09/07/2019,9/8/2019 5:16:00 AM,Injury Crash,"(39.1793582740468, -76.6699374779863)"
19CS00140542,07/23/2019,7/23/2019 5:35:00 PM,Property Damage Crash,"(39.2410154, -76.5855753)"
19CS00210775,11/13/2019,11/18/2019 9:11:00 AM,Property Damage Crash,"(39.2853690347056, -76.5535547516997)"
P1900061679,09/29/2019,11/19/2019 1:00:00 AM,Property Damage Crash,"(39.1807025, -76.7008869)"
19CS00199992,10/25/2019,10/25/2019 6:41:00 PM,Property Damage Crash,"(39.26569, -76.6671)"
19CS00088419,05/05/2019,5/6/2019 2:58:00 PM,Injury Crash,"(39.242934, -76.578769)"
19IR000632,04/16/2019,4/18/2019 9:36:00 AM,Injury Crash,"(38.9919901574133, -76.3717705122887)"
19CS00066121,04/05/2019,4/5/2019 4:05:00 AM,Property Damage Crash,"(39.2665779312461, -76.5622829703402)"
19CS00092738,05/12/2019,5/13/2019 12:43:00 PM,Property Damage Crash,"(39.2989698329943, -76.5305011360614)"
19CS00101821,05/25/2019,5/25/2019 9:05:00 AM,Property Damage Crash,"(38.9537159650315, -77.3376888637543)"
19CS00203640,11/01/2019,11/1/2019 10:42:00 AM,Property Damage Crash,"(39.2668200181065, -76.6098986508852)"
19CS00077732,04/21/2019,4/21/2019 2:23:00 AM,Property Damage Crash,"(39.2341091521978, -76.6608445283151)"
19CS00076655,04/19/2019,4/19/2019 9:30:00 AM,Property Damage Crash,"(39.260856476512, -76.5729324350221)"
P1900031913,05/18/2019,7/3/2019 3:41:00 AM,Property Damage Crash,"(39.1894524888759, -76.6850644950868)"
19CS00114745,06/13/2019,6/13/2019 2:41:00 PM,Property Damage Crash,"(39.279556, -76.553367)"
19CS00177980,09/20/2019,9/20/2019 7:49:00 AM,Property Damage Crash,"(39.27115, -76.64631)"
19CS00137879,07/19/2019,8/7/2019 4:16:00 PM,Property Damage Crash,"(39.2408988, -76.5868849)"
19CS00206276,11/05/2019,11/8/2019 5:55:00 PM,Injury Crash,"(39.2661215439717, -76.5992322349548)"
19CS00146459,08/01/2019,8/1/2019 5:55:00 AM,Property Damage Crash,"(39.284612844203, -76.5418641598789)"
19CS00127161,07/03/2019,7/3/2019 7:30:00 AM,Property Damage Crash,"(39.2672761270325, -76.6204109573364)"
19CS00161000,08/24/2019,9/23/2019 3:01:00 PM,Property Damage Crash,"(38.99948, -76.39868)"
19CS00082091,04/26/2019,5/1/2019 4:34:00 PM,Property Damage Crash,"(39.017, -76.409)"
19CS00084851,04/30/2019,5/2/2019 11:40:00 AM,Property Damage Crash,"(39.0101780350659, -76.4053257913622)"
19CS00110248,06/06/2019,6/7/2019 5:41:00 PM,Property Damage Crash,"(39.2666939308322, -76.6015664339672)"
19CS00105975,05/31/2019,6/3/2019 9:30:00 AM,Property Damage Crash,"(39.2504484236139, -76.5210769785736)"
19CS00120757,06/23/2019,6/23/2019 8:13:00 AM,Injury Crash,"(39.3159891449815, -76.5340155001702)"
19CS00144126,07/28/2019,7/28/2019 6:15:00 PM,Property Damage Crash,"(39.2467, -76.5761)"
19CS00196881,10/20/2019,10/24/2019 2:13:00 PM,Property Damage Crash,"(39.2711749, -76.6540612)"
19CS00122788,06/26/2019,6/26/2019 4:52:00 PM,Property Damage Crash,"(39.2712048894902, -76.6499152565003)"
19CS00087166,05/03/2019,5/4/2019 1:44:00 PM,Injury Crash,"(39.0063579073498, -76.4029031114502)"
19CS00142383,07/26/2019,7/26/2019 5:11:00 AM,Property Damage Crash,"(39.2843701436076, -76.5378046549446)"
P1900073952,11/22/2019,11/22/2019 9:48:00 AM,Injury Crash,"(39.0395908776498, -76.6746823702684)"
19CS00124905,06/29/2019,7/1/2019 11:21:00 PM,Property Damage Crash,"(39.083546, -76.969693)"
19CS00080037,04/24/2019,4/24/2019 6:32:00 AM,Property Damage Crash,"(39.2477333386833, -76.575650718616)"
19CS00214726,11/20/2019,11/20/2019 7:57:00 AM,Property Damage Crash,"(39.24598774072, -76.5767787339693)"
19CS00212864,11/16/2019,11/17/2019 9:05:00 PM,Injury Crash,"(39.2702366854793, -76.6394197627697)"
19CS00118840,06/20/2019,6/20/2019 6:32:00 AM,Property Damage Crash,"(39.2598312533944, -76.5761415843591)"
19CS00171967,09/11/2019,9/11/2019 6:51:00 AM,Property Damage Crash,"(39.325186, -76.527753)"
19CS00152105,08/10/2019,8/12/2019 4:32:00 AM,Property Damage Crash,"(39.2411250071369, -76.5833788320003)"
19CS00104636,05/29/2019,5/31/2019 12:10:00 PM,Property Damage Crash,"(38.953, -77.338)"
19CS00194712,10/16/2019,10/17/2019 1:00:00 PM,Injury Crash,"(39.284360071487, -76.5373912239075)"
19CS00154640,08/14/2019,8/14/2019 4:37:00 PM,Property Damage Crash,"(39.2728286224629, -76.621819498479)"
19CS00168421,09/05/2019,9/5/2019 7:55:00 AM,Property Damage Crash,"(39.2891, -76.5327)"
19CS00191855,10/11/2019,10/14/2019 4:45:00 PM,Property Damage Crash,"(39.251638, -76.573008)"
19IR001538,09/16/2019,9/16/2019 2:22:00 AM,Property Damage Crash,"(39.2715994147763, -76.6522004985809)"
19CS00145094,07/30/2019,7/30/2019 6:51:00 AM,Injury Crash,"(39.262338975993, -76.5693208481735)"
19CS00105602,05/30/2019,6/19/2019 4:26:00 PM,Injury Crash,"(39.00929, -76.40453)"
19CS00159588,08/22/2019,8/22/2019 8:20:00 AM,Property Damage Crash,"(39.280905, -76.553439)"
19CS00145222,07/30/2019,7/30/2019 11:09:00 AM,Property Damage Crash,"(39.2652, -76.5624)"
19CS00139844,07/22/2019,7/22/2019 4:36:00 PM,Property Damage Crash,"(39.2533268, -76.5713784)"
P1900042486,07/03/2019,7/4/2019 5:19:00 PM,Property Damage Crash,"(38.953, -77.338)"
19CS00181984,09/26/2019,9/26/2019 6:05:00 PM,Property Damage Crash,"(39.2692, -76.6331)"
19CS00106548,06/01/2019,6/1/2019 1:37:00 AM,Injury Crash,"(39.2698640183059, -76.6227314205734)"
19CS00207345,11/07/2019,11/7/2019 9:57:00 AM,Property Damage Crash,"(39.2501267905029, -76.5739899759489)"
19CS00083099,04/28/2019,4/28/2019 8:30:00 AM,Property Damage Crash,"(39.233489, -76.652279)"
21CS00063447,04/29/2021,4/29/2021 12:44:00 AM,Property Damage Crash,"(39.24095743, -76.58775512)"
P2100024315,04/29/2021,4/29/2021 8:44:00 AM,Property Damage Crash,"(39.18136, -76.67212)"
21CS00064209,04/30/2021,4/30/2021 3:49:00 PM,Property Damage Crash,"(39.26548, -76.664)"
21CS00063475,04/29/2021,4/29/2021 2:42:00 AM,Property Damage Crash,"(39.264513, -76.590385)"
21CS00063364,04/28/2021,5/3/2021 8:00:00 PM,Property Damage Crash,"(38.99247451, -76.37734444)"
21CS00064208,04/30/2021,5/1/2021 3:45:00 PM,Injury Crash,"(39.125705, -77.096357)"
P2100024624,04/30/2021,5/1/2021 8:02:00 PM,Injury Crash,"(39.18620502, -76.67616639)"
21CS00063357,04/28/2021,5/1/2021 7:39:00 PM,Property Damage Crash,"(39.00537653, -76.40231391)"
21CS00064172,04/30/2021,5/1/2021 2:50:00 PM,Property Damage Crash,"(39.24079, -76.60198)"
21CS00013885,01/27/2021,1/27/2021 4:22:00 PM,Property Damage Crash,"(39.240012, -76.588421)"
21CS00025610,02/18/2021,2/27/2021 1:45:00 PM,Property Damage Crash,"(39.3007636, -76.53026047)"
21CS00019172,02/06/2021,2/6/2021 1:33:00 AM,Property Damage Crash,"(39.26055971, -76.57417072)"
P2100017302,03/26/2021,4/7/2021 6:00:00 PM,Injury Crash,"(39.163014, -76.663397)"
21IR000339,03/21/2021,3/21/2021 1:51:00 AM,Injury Crash,"(39.0032, -76.2416)"
21CS00000048,01/01/2021,1/3/2021 1:28:00 AM,Property Damage Crash,"(39.269981, -76.558181)"
21CS00016391,02/01/2021,2/3/2021 6:00:00 AM,Property Damage Crash,"(39.20756815, -76.58268842)"
21CS00029685,02/26/2021,2/28/2021 2:51:00 PM,Property Damage Crash,"(39.08878, -76.99908)"
21CS00022025,02/11/2021,2/11/2021 11:51:00 AM,Property Damage Crash,"(39.25740757, -76.53805641)"
21CS00038485,03/15/2021,3/16/2021 7:43:00 AM,Property Damage Crash,"(39.260967, -76.57613)"
21CS00049427,04/03/2021,4/16/2021 5:23:00 PM,Injury Crash,"(39.2182, -76.5268)"
21CS00058436,04/19/2021,4/19/2021 6:46:00 PM,Property Damage Crash,"(39.20692219, -76.60184149)"
21CS00000698,01/02/2021,1/10/2021 4:45:00 PM,Property Damage Crash,"(39.25283516, -76.57236833)"
21CS00021912,02/11/2021,2/11/2021 5:45:00 AM,Property Damage Crash,"(39.33031, -76.52189)"
P2100016937,03/25/2021,5/1/2021 2:15:00 AM,Property Damage Crash,"(39.1707, -76.6887)"
21CS00048803,04/02/2021,4/5/2021 1:39:00 PM,Property Damage Crash,"(39.12219451, -77.18857029)"
21CS00035847,03/10/2021,3/23/2021 4:45:00 AM,Property Damage Crash,"(39.240414, -76.607988)"
21CS00001248,01/04/2021,1/4/2021 5:10:00 AM,Property Damage Crash,"(39.56539127, -76.07939843)"
21CS00010146,01/21/2021,1/26/2021 8:39:00 AM,Property Damage Crash,"(39.08878, -76.99908)"
21CS00025547,02/18/2021,2/18/2021 10:03:00 AM,Property Damage Crash,"(39.08509853, -76.97412744)"
21CS00025966,02/19/2021,2/25/2021 12:40:00 PM,Property Damage Crash,"(39.06657, -76.88959)"
